Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,CADAUJAC,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,GENELARD,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-15,THESEE,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,STRASBOURG GARE BASSE,non,Collision par prise en écharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,VILLEFRANQUE,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,PARIS ST LAZARE,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-25,Vauvert,oui,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-17,MITRY CLAYE,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-12,ENTRE NANTES ET SAVENEY,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,VILLENEUVE ST GEORGES,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14,MAISON ALFORT,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-14,ENTRE SABLE ET LE MANS,oui,Défaut ayant conduit à un risque grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-14,CHAMBERY,non,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-15,Collioure Elne,non,Désordre d'ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,TECHICENTRE TGV DE LYON,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-28,Entre ARCHES et DOCELLES,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-08,AULNAY SOUS BOIS,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-19,MORTCERF,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-28,COLOMIERS,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-14,LANNEMEZAN,oui,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,ARRAS,oui,Insuffisance de freinage,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09,LAROCHE MIGENNE,oui,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-26,PARIS MONTPARNASSE,oui,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-08,TECHNICENTRE de VENISSIEUX,non,Collision par prise en écharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-20,BUEIL,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,HENDAYE,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,SAINT HILAIRE DE LUSIGNAN,oui,Défaut ayant conduit à un risque grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-28,CONDAT LE LANDIN,oui,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,L'ESTAQUE,oui,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,PYRIMONT,oui,Intempéries,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-14,MOISSAC,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,SEVERAC LE CHÂTEAU,oui,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-08,LE CREUSOT,oui,Désordre d’ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-29,TETING,oui,Non conformité du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-21,PARIS SAINT LAZARE,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
